data Alimento = Alimento {
  nome_alimento :: String,
  kcal :: Float,
  proteinas :: Float,
  gorduras :: Float,
  carboidratos :: Float
} deriving (Show)


id  name  category/id  category/name  nutrients/kcal  nutrients/protein  nutrients/lipids  nutrients/carbohydrates
231  Manga, Tommy Atkins, crua  3  Frutas e derivados  51  0.9  0.2  12.8
232  Maracujá, cru  3  Frutas e derivados  68  2  2.1  12.3
233  Maracujá, polpa, congelada  3  Frutas e derivados  39  0.8  0.2  9.6
234  Maracujá, suco concentrado, envasado  3  Frutas e derivados  42  0.8  0.2  9.6
235  Melancia, crua  3  Frutas e derivados  33  0.9  0  8.1
236  Melão, cru  3  Frutas e derivados  29  0.7  0  7.5
237  Mexerica, Murcote, crua  3  Frutas e derivados  58  0.9  0.1  14.9
238  Mexerica, Rio, crua  3  Frutas e derivados  37  0.7  0.1  9.3
239  Morango, cru  3  Frutas e derivados  30  0.9  0.3  6.8
240  Nêspera, crua  3  Frutas e derivados  43  0.3  0  11.5
241  Pequi, cru  3  Frutas e derivados  205  2.3  18  13
242  Pêra, Park, crua  3  Frutas e derivados  61  0.2  0.2  16.1
243  Pêra, Williams, crua  3  Frutas e derivados  53  0.6  0.1  14
244  Pêssego, Aurora, cru  3  Frutas e derivados  36  0.8  0  9.3
245  Pêssego, enlatado, em calda  3  Frutas e derivados  63  0.7  0  16.9
246  Pinha, crua  3  Frutas e derivados  88  1.5  0.3  22.4
247  Pitanga, crua  3  Frutas e derivados  41  0.9  0.2  10.2
248  Pitanga, polpa, congelada  3  Frutas e derivados  19  0.3  0.1  4.8
249  Romã, crua  3  Frutas e derivados  56  0.4  0  15.1
250  Tamarindo, cru  3  Frutas e derivados  276  3.2  0.5  72.5
251  Tangerina, Poncã, crua  3  Frutas e derivados  38  0.8  0.1  9.6
252  Tangerina, Poncã, suco  3  Frutas e derivados  36  0.5  0  8.8
253  Tucumã, cru  3  Frutas e derivados  262  2.1  19.1  26.5
254  Umbu, cru  3  Frutas e derivados  37  0.8  0  9.4
255  Umbu, polpa, congelada  3  Frutas e derivados  34  0.5  0.1  8.8
256  Uva, Itália, crua  3  Frutas e derivados  53  0.7  0.2  13.6
257  Uva, Rubi, crua  3  Frutas e derivados  49  0.6  0.2  12.7
258  Uva, suco concentrado, envasado  3  Frutas e derivados  58  0  0  14.7
259  Azeite, de dendê  4  Gorduras e óleos  884    100  
260  Azeite, de oliva, extra virgem  4  Gorduras e óleos  884    100  
261  Manteiga, com sal  4  Gorduras e óleos  726  0.4  82.4  0.1
262  Manteiga, sem sal  4  Gorduras e óleos  758  0.4  86  0
263  Margarina, com óleo hidrogenado, com sal (65% de lipídeos)  4  Gorduras e óleos  596  0  67.4  0
264  Margarina, com óleo hidrogenado, sem sal (80% de lipídeos)  4  Gorduras e óleos  723  0  81.7  0
265  Margarina, com óleo interesterificado, com sal (65%de lipídeos)  4  Gorduras e óleos  594  0  67.2  0
266  Margarina, com óleo interesterificado, sem sal (65% de lipídeos)  4  Gorduras e óleos  593  0  67.1  0
267  Óleo, de babaçu  4  Gorduras e óleos  884    100  
268  Óleo, de canola  4  Gorduras e óleos  884    100  
269  Óleo, de girassol  4  Gorduras e óleos  884    100  
270  Óleo, de milho  4  Gorduras e óleos  884    100  
271  Óleo, de pequi  4  Gorduras e óleos  884    100  
272  Óleo, de soja  4  Gorduras e óleos  884    100  
273  Abadejo, filé, congelado, assado  5  Pescados e frutos do mar  112  23.5  1.2  0
274  Abadejo, filé, congelado,cozido  5  Pescados e frutos do mar  91  19.3  0.9  0
275  Abadejo, filé, congelado, cru  5  Pescados e frutos do mar  59  13.1  0.4  0
276  Abadejo, filé, congelado, grelhado  5  Pescados e frutos do mar  130  27.6  1.3  0
277  Atum, conserva em óleo  5  Pescados e frutos do mar  166  26.2  6  0
278  Atum, fresco, cru  5  Pescados e frutos do mar  118  25.7  0.9  0
279  Bacalhau, salgado, cru  5  Pescados e frutos do mar  136  29  1.3  0
280  Bacalhau, salgado, refogado  5  Pescados e frutos do mar  140  24  3.6  1.2
281  Cação, posta, com farinha de trigo, frita  5  Pescados e frutos do mar  208  25  10  3.1
282  Cação, posta, cozida  5  Pescados e frutos do mar  116  25.6  0.7  0
283  Cação, posta, crua  5  Pescados e frutos do mar  83  17.9  0.8  0
284  Camarão, Rio Grande, grande, cozido  5  Pescados e frutos do mar  90  19  1  0
285  Camarão, Rio Grande, grande, cru  5  Pescados e frutos do mar  47  10  0.5  0
286  Camarão, Sete Barbas, sem cabeça, com casca, frito  5  Pescados e frutos do mar  231  18.4  15.6  2.9
